												
												
№	РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ)											
	ОБЩАЯ ХАРАКТЕРИСТИКА				КООРДИНАТЫ					РЕГИСТРАЦИЯ ТЕРРИТОРИИ		
330	Агина	Город друзей с определенной тематикой	MericCartman	Да	-2383	3191	1000	-300	340	07.06.2022	https://vk.com/gepe5?w=wall-131054616_85319	TRUE
331	Территория _CountDown	-	_CountDown	Нет	2800	4500	1300	350	555	03.06.2022	https://vk.com/wall-131054616_83838	FALSE
332	YesNameCity	Город не без названия	MaKKoR	Да	114	-22138	1500	18	-2751	26.03.2023		TRUE
333	СССГ	СССГ - Союз Советских Социалистических Городов. Вы будете трудится не ради государства, а ради народа!	Tverdiy_Znak_		-668	-3506	1500	-82	-436	27.03.2023		FALSE
334	РейвенВилль	Мы волшебницы, добрые феи, Если решишь, можешь ты стать, Одной из нас!	BRUHamster, minatoom, Alexvain	Да	-2700	11000	1500	-339	1369	05.06.2022	https://vk.com/topic-131054616_48663772?post=3477	TRUE
335	catburg	-	ruinecat	Да	15870	78	1000	1977	0	30.03.2023	-	TRUE
336	ГЛП	Г-город Л-лучший П-подруг	Gwyinn	Да	7900	-6666	2000	750	-662	31.03.2023	-	TRUE
337	Сектор газа	Город-канава, где царит частичный  анархо-коммунизм. Здесь нету понятия главный, есть только руководитель, но все равны.	pussi_destroyer		-267	-3480	500	-25	-444	02.04.2023	-	FALSE
338	Солярка	Город Солечки	sssolechka	нет	13883	6742	1000	1726	847	02.04.2023	-	FALSE
339	Warfell	Жёсткий МЕГА РП Город-Не город, пизда, пиздец, это легенда	Hemok98	нет	14000	4000	750	1750	500	03.04.2023	-	FALSE
340	Крысиная нора	-	Delux8888	Да	16228	11552	1000	2027	1442	07.10.2022	https://vk.com/topic-131054616_48663772?post=4217	TRUE
341	Западные земли	Западная часть города	LosTikkk		-3600	8000	2000	-450	1000	06.04.2023		FALSE
342	CombersLand	Будущая империя золотых морковей. Всего 2 АР за стак	_NotoBoto_	да	9500	-3350	350	1200	-410	08.04.2023	-	TRUE
343	Paradise City	место для чила.	San4ez_Fun	нет	21474	-1420	400	2680	-180	08.04.2023	-	FALSE
344	Манты-Хансийск	Крутой город около-совет. тематки. В нём вы найдёте:отзывчивое правительство, и класных жителей.	pirigarchik merestring0	нет	23945	-1835	350	2290	-219	09.04.2023	https://vk.com/wall-219845244_2	FALSE
345	Хораллд	-	Detdomchik		-16100	-600	2000	-2020	-75	06.10.2022	https://vk.com/topic-131054616_48663772?post=4196	FALSE
346	МсМуняня	да	Primal_Dino	нет	-4971	23916	750	-623	2994	23.04.2023	-	FALSE
347	MultiVerse	Город в котором вселеные всплелись в нечто иное	Saild203		-1221	15501	2000	-143	1920	24.04.2023	-	FALSE
348	Light City	-	Light_of_Shadow1		575	-13864	700	86	1717	24.04.2023	-	FALSE
349	Бостон	Планируется рп зона по фл4	catmit446	Нет	-10000	20000	2000	-1250	2500	25.04.2023	-	FALSE
350	YesNameCity 2район	-	Urodis		114	-23986	2000	2670	53	25.04.2023	-	FALSE
351	Aster	Лесной городок, который населяют звери, духи и дриады.	Sovynok		3109	-1144	650	392	-142	26.04.2023	-	FALSE
352	ТРИП	Привет, я ba6ok. Хочу найти творческих людей. Ну вот зачем идея и лор города: как многие знают, что есть наркотики и на них кучи людей уже подсели или хотят подсесть, и это грустно. А наш город будет тем, к чему это все приводит, а именно 2 района города - ТРИП 1, это трип, а 2, это бед трип. Это будет очень интересно с той точки зрения, что это все голюны, которые там находятся - резкие и интересные фантазии и цветовые палитры. Музыка и освещение можно осуществить все, что вы таите у себя в душе и то, что пытаетесь скрыть в абстракциях и экспрессии города. Так вы получите много эмоций и афига от того, что вы создали образец искусства.	ba6ok	Да	-6947	-4977	1000	-868	-622	27.04.2023	-	FALSE
353	Сосская Азия	Колония Сосмаркской империи	mrSemper	Да	5228	8228	500	653	1028	29.04.2023	-	TRUE
354	Moment City	Процветающий город для новичков из старичков	DrDro20	Да	11800	-8300	1500	1427	-1032	30.04.2023	https://vk.com/topic-131054616_48663772?post=3423	TRUE
355	Клан Асина	Город в стиле древней японии эры сэнгоку	Miyana		10800	560	2000	1350	70	07.05.2023	-	FALSE
357	Lie-Isil	-	fiendimmoral	Нет	-4703	18823	1000	600	2330	09.05.2023	-	FALSE
358	La Cosa Nostra de	La Cosa Nostra de Casino - Дело Казино свободная ассоциация Казинаков, которые имеют общую организацию. Основная группа известная как семья.	badmouse_	Да	8814	11090	2000	1111	1400	11.05.2023	-	TRUE
359	Типо база 	-	snaker373	Нет	2000	11357	1800	357	1398	11.05.2023	-	FALSE
360	LifeCity	Город, на острове с гигантским деревом из другого мира.	HitekXX	Нет	-8827	12085	1697	-1071	1469	13.05.2023	-	FALSE
361	Radiant	БОЛДАНЫ НА СКРИН	boldan_	Да	1460	-6330	300	185	-777	14.05.2023	-	TRUE
362	Ню Эра	В данном распрекраснейшем городе, вы можете найти лучший людей на планете земля	TTVCryxsu	Да	-1011	-24940	2000	-125		19.05.2023	-	TRUE
363	Киберпанк	Футуристический город в стиле киберпанка	xvlegenda	нет	-4719	11748	1000	-592	1462	19.05.2023	-	FALSE
364	Кёльтск	Город антиутопия	DiogEn_7	Нет	12460	-7700	400	1582	-996	25.05.2023	-	FALSE
365	RaHoWa	-	Goos9k	Да	959	1599	129	120	199	25.05.2023	https://vk.com/topic-131054616_48663772?post=4326	TRUE
366	БравлТаун	БравлТаун это самый крутой город для самых крутых бравлеров!!!	HuggyVanya		-1715	19519	2000	-194	-2434	03.12.2023		FALSE
367	ESTILO	современный город в стиле хай-тек	Romakrd1	Нет	-99	7212	550	-11	900	28.05.2023	-	FALSE
368	Police Department	Город для проведени РП	StEnerGo	Да	8455	-8102	500	1059	-1014	30.05.2023	-	TRUE
369	SkyLine	Летающие острова в СтимПанк	sanmorit	Нет	-11649	3089	1800	-1455	391	31.05.2023	-	FALSE
370	МультиТаун	Город МультиТаун это город мульти районов. В этом городе вы можете примкнуть к одному из районов с определенной тематикой	shmekker	Нет	-7000	16000	2000	-875	2000	03.06.2023	-	FALSE
371	Котофей	город котиков	SeyFox_, tatarchik	Нет	3026	-19303	1500	381	-2400	04.06.2023	-	FALSE
372	Гринтек	"Город в стиле гринпанк, с живописными парками и озерами, красивыми лесами и горами. Здесь возможно все!"	Lurr1k	Да	-2046	20434	2000	-258	2555	07.06.2023	-	FALSE
373	Гаулиц	Представьте, что оно есть	L0fy_	Да	-11300	9610	800	-1430	1190	08.06.2023	-	TRUE
374	Чивапчичи	Санаторий для отдыха психбольных	SirTulpa	Да	15717	6028	2000	1968	752	11.06.2023	-	TRUE
375	Крутой Классный Клуб	К чему бы ты не стремился, мы тебе рады, ибо все пути ведут к богу (если ты не фурри)	aladin2811	Да	20509	-6198	1000	2452	-770	11.06.2023	-	TRUE
376	Оцуки-цуру	Целебные источники. Красивая инфроструктура. Японщини.	b4Tori	Нет	-1946	22746	1000	-239	2856	14.06.2023	-	FALSE
377	Фишбург	Город для настоящих искателей приключений,если ты всегда жаждал стать частью пиратской команды то тебе к нам!	Strogo_Tilt	Да	-15343	495	2000	-1925	52	24.06.2023	-	TRUE
378	Liberty	Город в современном Французском стиле. Город недавно начал своё развитие и ищет активных жилетей.	stefan_sees, Banyzrey, xdWolfVille	Да	-9733	-202	400	-1200	-21	25.06.2023	-	FALSE
379	Лонград	Небольшой городок, который будет развиваться и достигать новых высот! У нас доброе комьюнити, которое тепло примет каждого нового жителя.	kybimbi		6878	-5419	300	863	-687	27.06.2023		FALSE
380	Риттона	Будущая империя арбузов.	mefedronish	Да	5463	2211	500	681	271	28.06.2023	-	TRUE
381	Восход	-	Bogdan451	Нет	20150	-16700	1000	2520	-2100	01.07.2023	-	FALSE
382	Империум	Город из вселенной Вархаммер 40000 - столица человечества и бога Императора	_Roxxy_Del_	Нет	17000	19000	2000	2125	2375	01.07.2023	-	FALSE
383	Территория IDizzI	-	IDizzI		13400	-22960	2000	1675	-2870	02.07.2023	-	FALSE
384	Хайп Сити	Город хайпа	Wlenzy	Да	22222	-5595	800	2780	-700	03.07.2023	-	TRUE
385	Новая Империя Скаро	потом чето	Hellbug_U	Да	21696	20220	1000	2715	2530	06.07.2023	-	TRUE
386	Griefer	Город	1_Kenespro_1		7600	-800	700	950	-100	08.07.2023	-	FALSE
387	Центр Комфорта	-	MisterDef	Да	-7400	5300	500	-922	666	09.07.2023		TRUE
388	Свободный город	-	saltygirl69	Нет	12500	-17500	2000	1548	-2193	10.07.2023	-	FALSE
389	Куба	Город в стиле туристического острова Кубы с элементами современного города	Shershnyaga_	Да	11300	14600	1000	1331	1757	12.07.2023		TRUE
390	TollandHenge	TollandHebnge - это город где все ко всем(почти) толерантны	Trixxsis		10481	11781	500	1302	1462	12.07.2023		TRUE
391	Утопия ленд	Тропический остров	T0P0T0P		-4090	22200	1000	-511	2775	14.07.2023		FALSE
392	Конец мира	Вы тут нихрена не найдёте	LioneleDikaprio	Нет	24980	260	1000	3140	41	14.07.2023	-	FALSE
393	ПБР	Плюшевое Бюро расследований	JustPinkAzure	Да	11160	780	500	1400	105	14.07.2023	-	TRUE
394	Хуйсо - сити	Самый красивый город на всём СП 5	YMFtiger255	Да	-13728	552	500	6785	-1703	14.07.2023	-	TRUE
395	Калифорния	Калифорния - город про счастливых людей!	Shaitan13_	Да	3071	9146	2000	379	1141	15.07.2023	-	TRUE
396	XPӨHӨC	XPӨHӨC - мелкий посёлок, который в один момент из-за неизвестной аномалии в небе, древние машины, руины почившей цивилизации и металлические конструкции слились с округой тихой деревушки. Жители стали приспосабливаться к новой жизни среди новых технологий, не отступая от традиций своей былой жизни.	_Academic	да	16755	-2547	900	2100	-315	16.07.2023		TRUE
397	Набережные ЧелТы	Город свободны и полёта мыслей, нет темы и обязательств, просто ламповое выживание и кайф (не город уродов)	DiroKun, newrochka	Нет	-15162	1613	2000	-1896	212	18.07.2023	-	FALSE
398	Гиза	Город в стиле Египет, смешанный с фантастикой. 	_VeR0	Да	1345	1210	1000	137	138	19.07.2023	-	FALSE
399	Бункер IVEN-а и xgrom4ik-а	-	 MrIVEN	Да	24007	24000	250	3000	3045	21.07.2023	-	TRUE
400	Розенбург	-	DrScrison	Да	350	-8799	100	36	-1108	23.07.2023	-	FALSE
401	🔱:Пандемония🔱	Город в футуристическом стиле с огромным лором,а так же с людьми готовыми помочь в отыгрывании рп	Batrich	Да	-2488	18886	500	-298	1860	24.07.2023	-	TRUE
402	Резиденция культуры	Официальный город театра СП	Mr_lexandse	Да	24815	5265	700	3097	644	25.07.2023	-	TRUE
403	Кириешинск	Город как пачка сухариков - каждый сухарик новый вкус	Kewsieay	Нет	-4000	-12576	1000	-1570	-500	31.07.2023	-	FALSE
404	Вандор	Добро пожаловать в средневековый город. Вандор - это город, который поможет новичкам и не только понять как устроен сервер и сразу завести себе друзей.	JABIYS / Simen_aep	Нет	-20156	-15743	650	-2520	-1917	31.07.2023	-	FALSE
405	Город евки	-	Evka0vevkov1ch	Нет	-4000	16500	1000	500	2062	02.08.2023	-	FALSE
406	АмНямСити	Из за снежной пустоши город находится под землей а на его поверхности только база гвардии города	beton_gaming	Нет	11135	311	1000	1373	30	02.08.2023	-	FALSE
407	Abyss	Город бизнесменов и разных темок	Xanaxluvv	Нет	-2000	5800	450	-270	714	04.08.2023	-	FALSE
408	Саранск	Терра для города, биом берёзовых чков.	 Flot55		-17700	15710	2000	-2212	1960	07.08.2023	-	FALSE
409	Новый мир	Город свободы, творчества	_Randrel_		3791	-13150	2000	474	-1642	07.08.2023	-	FALSE
410	Forgotten city	Забытый город под землёй	ItsIFox	Нет	-15886	2128	1500	-1987	265	09.08.2023	-	FALSE
412	Трэп яма	Топ забиверы 2077	Astona		4280	240	1000	535	100	11.08.2023	-	FALSE
413	Дабдейл	Империя в стиле Стимпанка расположенная на грибном острове	 KakoMiko		17069	681	1700	2133	60	12.08.2023	-	FALSE
414	Баритон	Всем привет. Мы город инвалидов с синдромом ДЦП.	11Concord		22111	-125	600	2762	20	13.08.2023	-	FALSE
415	ХроноПолис	Без описания.	Kvaklz	Да	-6869	-1691	1000	-857	-210	15.08.2023	-	TRUE
416	литтл сити	ну крутой город типа в стиле май литтл поне, крч жоска крут	mamonten0k		-2118	6598	1500	-275	818	15.08.2023	-	FALSE
417	LoVerse	Город LoVerse основан на мотивах сюжетных сезонов Lololowk'и. Здесь вы можете найти здания, например из Империи, или Абраксас из Поэны и т.д. Город хайп с кул жителями.	The_Cobalt	Да	-14886	6321	2000	-1858	790	17.08.2023		FALSE
418	Город S	-	Zaigard100	Нет	2483	18293	350	310	2286	21.08.2023	-	FALSE
420	Алфея	 -	nikolskaya	Да	-8330	-80	250	-1020	-30	22.08.2023	-	TRUE
421	Поселок Фруктовички	Город оранизации ЧВК НОВИЧКИ, чтобы попасть в город нужно состоять в ЧВК НОВИЧКИ или быть в скине фрукта	kostemin	Да	16464	5890	750	2055	727	22.08.2023	-	FALSE
422	Карьер ТРСП	Рабочая зона для добычи рессурсов, база отдыха горожан, туристический океанный комплекс.	AlkioGraives	Да	12200	25340	1500	1520	3164	23.08.2023	-	FALSE
423	Логово Бубы	Территория в мезе для маленького города.	CalociNim	нет	-25660	11100	1000	-3208	1386	23.08.2023	в группе в вк в обсуждении  "города" есть запись за 23 августа	FALSE
424	Неомерика	Расширяем территории за счет Афганистанских деревень	Nebeta	нет	4105	-5732	1000	487	-525	24.08.2023		FALSE
425	ФырТаун	Дружный пустынный фентази город Фурей, в котором вы найдётен много крутых и дружелюх	dabeyt	Да	-26624	7386	2000	-3341	930	24.08.2023	-	TRUE
426	Баку	Город на берегу 	 _Offlistid_	нет	129	7387	500	-12	943	24.08.2023	-	FALSE
427	TooaLand	-	KleikaLenta	Нет	7028	20788	150	878	2601	25.08.2023	-	FALSE
428	GangGirlsSexSqad	сексуальные девачки	 Aleksey4ik	да	26400	27800	2000	3300	3475	12.10.2022		FALSE
429	Горгород	-	bluermish	да	4000	-5510	500	500	690	27.08.2023		FALSE
430	Сантрополис	Наш город подойдет для всех, хотите что нибудь построить, пообщаться или просто расслаби ться, присоединяйте сь к нам, в наш замеч ательный город	Spirchi	нет	-7500	-27700	2000	-990	-3325	27.08.2023	-	FALSE
431	Строилкинсы	Подземный город строителей	BrinyPiny	нет	24451	-14801	1000	3044	-1850	27.08.2023		FALSE
432	Дромунд-Каас	Столица Империи Ситхов. Город вдохновлён игрой SWTOR	AVTO_CEKCTPEHEP	Да	-11500	-10500	1000	-1437	-1235	29.08.2023	-	TRUE
433	Столбград	Город столб, столица всех столбов сп 	Mr.Steg0	нет	100	-6500	100	812	12	30.08.2023	-	FALSE
435	Asitown	Милый город с хорошей и уютной атмосферой	im_namii	да	27559	-10875	1500	3452	-1360	30.08.2023		TRUE
436	Империя	Город в котором вам не прийдётся выбирать, или решать проблемы, ведь это сделает за вас Империя	Ralse1_Fan		-16282	-1662	2000	-2048	-208	31.08.2023		FALSE
437	Амбенн	Фентези город в стиле книг Толкина.	Lotli	нет	22314	2252	2000	2786	283	31.08.2023	-	FALSE
438	Кайфоград	Город кайфа  и  наслаждения	Qwensky	нет	1155	-28631	2000	159	-3560	02.09.2023		FALSE
439	сексsiTI	 /sex тут /blow одобряется кристаллы ОБЯЗАТЕЛЬНО	partflow, Cr1stal1k	нет	1178	23202	2000	147	2899	02.09.2023	-	FALSE
440	Морио-чо	Портовый город в японском стиле основаный на вселленой Невероятные приключ ения джоджо	Melodi4niy	да	-6464	-14778	2000	-807	-1846	08.09.2023	-	FALSE
442	МоскваRusSq	Очень крутой город в честь великого Руссквада	a10n3_	нет	-315	33485	1000	50	4200	13.09.2023		FALSE
443	Neco	Город	kAmEnNiY	Да	-1100	-11600	500	40	-1462	18.09.2023	-	TRUE
444	Кенлин	❤❤❤❤	smstsmstsmstsmst	Да	18000	17000	2000	2250	2125	20.09.2023	-	FALSE
447	Стиль-Сити	город самых топовых людей с которыми  интересно общатся и икон стиля. Очень красивый  город со своей архитектурой	Dobri_Evrei	Нет	15108	-3327	1000	1888	-415	26.09.2023	-	FALSE
448	Авангард	-	7ZigZag7	Да	-5743	31300	2000	-719	3912	30.09.2023	-	TRUE
449	УРОДСКАЯ ВОЛЬНАЯ ТЕРРИТОРИЯ	ВЕЛИКАЯ ИМПЕРИЯ ИГРОКА КСЕПОМА 	XEPOM	Да	1419	11053	1000	172	1389	30.09.2023		TRUE
450	PieceTown	Заросший город	MrXyuz	нет	15179	1326	500	1900	170	01.10.2023		TRUE
451	Заун	Город крутых перцев	_kewi_	Да	5100	2160	1000	647	265	03.10.2023		TRUE
452	KetchyppLand	Территория под проект	Ketchypp	Да	-1208	1991	128	-151	248	04.10.2023	-	FALSE
453	Ромашковая долина	Небольшой город, вдохновлённый Ромашковой долиной из смешариков. 	newrochka	нет	309	-14052	2000	35	-1752	05.10.2023	-	TRUE
454	Ирхидей	Красивый город	Rudolfick	Нет	-28243	-1500	2000	-3527	-188	06.10.2023	-	FALSE
455	скррра	Частная база	re1miks	Да	-6737	663	450	-842	79	06.10.2023	-	TRUE
456	Город злодеев	Город криминал, с интирест ной историей	Prosto_NaIS	Нет	-24954	1109	1000	-3123	130	07.10.2023	-	FALSE
457	Либревилл	Стремительно развивающийся город, объядинивший в себе людей, с абсолютно разными интересами, но одной целью. В переводе с ит. яз и франц. яз как "Свободный город"	vladbrask	Да	1503	15342	750	190	1910	08.10.2023	-	TRUE
458	Ирхидей	Крутой город	Rudolfick	Нет	-27631	-7252	2000	-3457	-906	09.10.2023	-	FALSE
459	КаваГрад	Поселение внутри огромной пещеры. 	blintvett	Нет	-1024	-7307	550	-125	-906	10.10.2023	-	FALSE
460	База АртМании 	Закрытая база АртМании 	NotQR_	Нет	2600	-32000	2000	325	-4000	10.10.2023		FALSE
461	Кримисноу	небогатый город бандитов	ivangou55	Нет	-2131	-10675	150	-262	-1335	13.10.2023	-	FALSE
462	Альтенбург	хайповый город	0bmorok_iz_DURKI	Да	-4800	-1380	200	-610	-181	06.10.2023	-	FALSE
463	Пригоды Маскитолога	Здесь живут фури	ArhangelGabriel	Нет	-9953	474	300	-1256	71	14.10.2023	-	FALSE
464	OhioSquad	Поселение древних жителей.	Try_Kekss	Да	-30708	362	250	-3838	47	15.10.2023	-	FALSE
465	Земли Ууу	Город по мотивам мультсериала: Время приключений. Где   живут те самые Финн и Джейк и многие  другие	ThePristol	Да	-1454	19220	2000	-174	2394	22.10.2023	-	FALSE
466	КОЛБАСА	ААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА	CHUGUN53	Да	3839	11024	240	480	1377	22.10.2023	-	FALSE
467	Несо	Город	kAmEnNiY	Да	-1100	-11600	2000	-148	-1462	28.10.2023	-	TRUE
468	TRAP CITY	Это город трэпа и хайпа. Мы на трэпе каждый день и у нас в голове дырка мы дильфин.	Qfict  GlakNotFound pepeD15km	Да	13200	-9372	1500	1700	-1167	28.10.2023	-	FALSE
469	Крайнеград	самый луч ший город на сервере p.s любим цифру 69	f1lyya_	Нет	3272	-13481	555	400	-1682	29.10.2023	-	FALSE
470	Hyilania	Красивый, добрый и оригинальный город  сделан для развитий бизнеса и т.д.	hai11an	Нет	28471	855	1500	3557	1078	30.10.2023	-	FALSE
471	Грибной оcтровок	Грибной остров с пещерами и расщелинами	Yksam_	Нет	-15765	-28740	500	-1970	-3585	15.10.2023	-	FALSE
472	Милтон	Город сюжета Безликого Тумана	psina_sytylaya	Да	-37	6203	1000	9	762	04.11.2023	-	FALSE
473	Эрлство Ва ргемпшир	Оставь надежду всяк сюда  входящий 	JeromeFox KloXXX	Да	22768	-2560	1000	2846	-320	05.06.2023	-	FALSE
474	Адастра	Адастра это спокойный и ламповый городок,в котором ты можешь отдохнуть от больших городов. Городо находится в биоме сакуры и поэтому постройки в этом городе сделаны в палитре розового цвета	Mozarellka	да	-26900	-1447	1000	-3370	-180	09.11.2023		TRUE
475	Тюмень	Жоский рп ород в котором будет все по рп и здания реальны е 1к1	Peta20001000	нет	20150	500	500	2525	60	09.11.2023		FALSE
476	Небельбург	Далёкий город ждём всех игроков	Finoker	нет	343	37495	140	41	5000	11.11.2023		FALSE
477	Культ Омега	Взрыв мультивселенной. Сами того не понимая, мы оказались в совершенно другом мире, как оказалось мы были не одиноки. Прошло много времени, мы изменились, мир вокруг изменился, но ОН ведёт за собой и никто нас не сможет остановить на пути нашей веры. Каждый день мы восхваляли его.Каждый день новые люди, что потеряли себя на просторах страны подписчиков, становятся частью нашего культа. Готовы ли вы услышать его голос?	Riktori	ДА	7600	-5273	500	972	-656	13.11.2023		TRUE
478	Разгар-Сити	Территория Разгара-Сити очень жаркая и огромная.	MRMuckFlurry	Да	-1486	12640	1200	-187	1587	14.11.2023		TRUE
479	Империя Святого Петра	Печка  расположенная в ледянной пустыне	Turtyk_	Нет	-3551	-6766	1500	-447	-847	14.11.2023	-	FALSE
480	Менберг	Сборная Европа с пышными лесами, горами и полями.	CL1FF_BURT0N	Да	-86	7955	250	-13	989	15.11.2023	-	FALSE
481	des2	Второй район Дестена	Broccalya	Да	-2012	-2999	2000	-251	-374	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83829%2Fall	FALSE
482	Старый горара раён сашиа санан дрес	Шкопете доп доп доп ес ес дип дип ес доп лол	DEBIL228337_	Нет	-8020	-9620	700	-986	1188	16.11.2023		FALSE
483	Территория Красивая	Терра для города, биом берёзовых чков.	maxi_capybara	Нет	-8047	-857	200	-1004	-104	18.11.2023		FALSE
484	ТАЛЕРАНТНЫЕ ДОЛБАЁБЫ	ТАЛЕРАНТНЫЕ ДОЛБАЁБЫ ЭТО ВСЁ	ENTI_	Да	-1570	7620	2000	-195	956	18.11.2023	https://vk.com/topic-131054616_48663772?offset=120	TRUE
485	ZаяCity	Личный город refdwww	SEX_TRANS	Нет	-47	9008	200	-16	1128	24.11.2023		FALSE
486												FALSE
487	Мастурбург	Тут живет KeninStone	KeninStone	Нет	-4198	7314	500	-524	913	30.11.2023	-	FALSE
488	RNSNS	-	antihype_payasa	Нет	-25086	7484	500	-3132	937	03.11.2023		FALSE
489	New Fallen Kingdom	жители королевства Fallen Kingdom после крушения замка перебрались через берег и возвели город	LeXFeeD	Да	-4542	-1750	500	-580	-280	03.12.2023		FALSE
490	чилловая территория	закрытая территория моя а	KNYAZ_PENZbI	Нет	2532	684	200	318	85	04.12.2023		FALSE
491	Фармильня	Закрытая территория ферм	_MaD_CaT_	Нет	8389	-12851	2000	1048	-1606	04.12.2023		FALSE
492	NEZPROM INC	Офис кайфовый	xitriks	Нет	-130	10645	500	-5	1337			FALSE
493	Unelmat	баначики	muden_bluz	Нет	3988	8888	1000	500	1111	06.12.2023		FALSE
494	город трпил секса	имба город для крутых	triple_six_x	Нет	1120	-34912	1500	139	-4365	07.12.2023		FALSE
495	Припять	-	MaxximusRUS	Да	-892	-5472	1000	-125	-670	15.06.2022	-	TRUE
496	Амбенн	Фентези город в стиле книг Толкина.	Lotli	Да	15000	13000	1200	1875	1625	10.12.2023		FALSE
497	Сателлит Города Уродов "Водная Яма"	Водная яма	Feralitt_	Да	-10450	-2259	500	-1304	-282	13.12.2023		TRUE
498	Arasaka	Город в стиле Cyberpank2077	YAMA228	Нет	36915	-11	2000	4625	-13	13.12.2023		TRUE
499	Новое Иваново	Маленькая деревушка в стиле дореволюционных и не очень крестьян	Mazay_San	Нет	-279	36818	120	-1.342	4612.261	15.12.2023		TRUE
500	Андеграунд 2	Возрождение легенды	Ametist_SRP	Да	-2131	6600	700	-280	814	15.12.2023	-	TRUE
501	Инкорп innovation Inc	Лаборатория расположеyная в вулкане. Так-же есть ядро питающее это место.	SirBonnie	Да	-6320	5144	500	-800	645	04.01.2023		TRUE
502	Царицынъ	Последний оплот Российской Империи среди мангровых болот	Ddimantus	Да	18732	-13941	500	2350	-1743	08.10.2022	https://vk.com/wall-131054616_87863	TRUE
503	Терра мономри	-	monomri	Нет	-20000	10000	2000	-2500	1250	17.12.2023		FALSE
504	Лано	Небольшой снежный городок	SovushkaOvO	Нет	-18640	12080	650	1510	-2330	17.12.2023		FALSE
505	Джамбуляндия	Город великого,гениального,амбициозного,избранного господом - Джамбулы.	dzhambula	Да	-21896	-256	2000	-2737	-16	19.12.2023		FALSE
506	Жопа Град	Город Жопа	Rain_Gosling	Нет	-2080	9711	300	-260	1213			FALSE
507	Сибирский Кингдом	Город посвящённый великому Сибирскому Кингу из БК.	Skibidi_Moskit	Да	11430	-4000	500	1440	-732	21.12.2023		TRUE
508	Ханко	Финский город, вышедший из-за льдов из-за глобального потепления.	sergey_pelevin	Да	2800	3406	400	370	430	21.12.2023		TRUE
509	Ember		Noobtik_moykotik		17100	3100	2000	2121	400			FALSE
510	Фарматти второй район	Фарматти - город без общего стиля, связанный с вечностью мира.	Dimonloikek	Да	3400	-6950	425	-890	800	24.12.2023		FALSE
511	Цветочная столица	Регион Вано	K0zuki_0den	Нет	-11297	-5313	-1422	-656	1000	24.12.2023		FALSE
512	амонгасик	запретка	semeone	нет	-8166	2380	500	-1014	291	25.12.2023		FALSE
513	Дача Финансов	Уютный город для друзей и в большинстве своём работников Мин Фина	psina_sytylaya	Да	-29127	15931	2000	-3660	1979	25.12.2023		TRUE
514	ГуряНЯЯЯЯ	Территория кепуча	Ketchypp	Да	rd	-28425	2000			27.12.2023		FALSE
515	Синдикат "Kosher inc."	Синдикат "Kosher inc." находится под мафией "Kosher Nostra". Чем точно занимается синдикат - неизвестно. Известно одно - это место переполнено преступностью.	MrEvrey4ik	Нет	8000	2000	2000	-245	1000	27.12.2023		FALSE
516	Фаве	2-ой район Амбенна	Nomer82	13200	14400	600	1650	1800	1			FALSE
517	 OGC town	Вступить дс: JunOGC_	JunOGC_	Нет	4659	2013	500	570	250	28.12.2023		FALSE
518	MainX	Город ютуберов Mainoft и IksX, заходите если вы тоже ютубер, остальные просто посетители)	mainoft	Нет	-16584	-1517	1000	-2072	-188	29.12.2023		FALSE
519	НайтэSия	Секта поклонения Night_эSу	Salatik_Oliver	нет	4260	-33205	700	532	-4151	02.01.2024		FALSE
520	Рисмунд	Средневековый город, в котором царствует скандинавская мифология и жители которого поклоняются лисе. В городе 12 районов. Каждый из них уникальный и со своей историей.	Faivs		-5000	4000	1000	-655	520	03.01.2024		TRUE
521	WiryReally	-	W1ry	Нет	10130	30221	2000	1273	3787	05.01.2024		FALSE
522	Прыград	Прыград - город паркура и ивентов. Тематика классического средневековья с рыцарями. Символика города - лягушки	S_Zombie_S	Да	6200	8350	2000	768	1041	04.06.2022	https://vk.com/topic-131054616_48663772?post=3375	FALSE
523	НАША РАША	База чилла и раслабона с фермами и братками EZZ	3orka	нет	1135	11931	750	141	1488	07.01.2024		FALSE
524	???	???	qwnly	нет 	-3400	33000	2000	-425	4125	07.01.2024		FALSE
525	Андеграунд	Комфортный подвал для ровных типчиков	Steka24	да	-2118	6596	1500	-275	818	10.01.2024		TRUE
526	Гандубубсы		baziza									FALSE
527	Отель-курорт Нар'Си	В этом прекрасном месте живут люди.	gatcu	да	896	-6627	1000	111	-834	14.01.2024		TRUE
528	Аллиум	-	Randomazik	да	17464	-2607	500	2185	327			TRUE
529	Stockholm	Легендарный город.	lew3aLHG		-1050	-9500	350	-140	-1177	14.01.2024		FALSE
530	BeeDrills	4 чен, тилип-тилип	Zucch1n1n1		13467	-6030	800	1680	-747	14.01.2024		FALSE
531	Sound City	Город , основанный на криках падшего ангела после изгнания из рая	ChayHot	нет	-18500	-8800	1500	-2312	-1000	15.01.2024		FALSE
